hsa-mir-99a-5p,m84,0
hsa-mir-199b-5p,m85,0
hsa-mir-378a-5p,m86,0
hsa-mir-454-5p,m87,0
hsa-mir-575,m88,0
hsa-mir-22-5p,m89,0
hsa-mir-373-5p,m90,0
hsa-mir-451a,m91,0
hsa-mir-363-5p,m92,0
hsa-mir-181c-5p,m93,0
hsa-mir-29b-2-5p,m94,0
hsa-mir-146a-5p,m95,0
hsa-mir-200a-5p,m96,0
hsa-mir-429,m97,0
hsa-mir-106b-5p,m98,0
hsa-mir-107,m99,0
hsa-mir-20b-5p,m100,0
hsa-mir-214-5p,m101,0
hsa-mir-216a-5p,m102,0
hsa-mir-217-5p,m103,0
hsa-mir-330-5p,m104,0
hsa-mir-452-5p,m105,0
hsa-mir-509-3-5p,m106,0
hsa-mir-517a-3p,m107,0
hsa-mir-518e-5p,m108,0
hsa-mir-519b-5p,m109,0
hsa-mir-593-5p,m110,0
hsa-mir-621,m111,0
hsa-mir-646,m112,0
hsa-mir-767-5p,m113,0
hsa-mir-191-5p,m114,0
hsa-mir-197-5p,m115,0
hsa-mir-21-5p,m116,0
hsa-mir-24-1-5p,m117,0
hsa-mir-24-2-5p,m118,0
hsa-mir-320a-5p,m119,0
hsa-mir-101-2-5p,m120,0
hsa-mir-27a-5p,m121,0
hsa-mir-331-5p,m122,0
hsa-mir-29b-1-5p,m123,0
hsa-mir-424-5p,m124,0
hsa-mir-503-5p,m125,0
hsa-mir-28-5p,m126,0
hsa-mir-382-5p,m127,0
hsa-mir-26a-1-3p,m128,0
hsa-mir-26a-2-3p,m129,0
hsa-mir-30c-1-3p,m130,0
hsa-mir-30c-2-3p,m131,0
hsa-mir-192-5p,m132,0
hsa-mir-205-5p,m133,0
hsa-mir-103a-1-5p,m134,0
hsa-mir-103a-2-5p,m135,0
hsa-mir-100-5p,m136,0
hsa-mir-106a-5p,m137,0
hsa-mir-146b-5p,m138,0
hsa-mir-590-5p,m139,0
hsa-mir-342-5p,m140,0
hsa-mir-671-5p,m141,0
hsa-mir-375-5p,m142,0
hsa-mir-218-1-3p,m143,0
hsa-mir-218-2-3p,m144,0
hsa-mir-133b,m145,0
hsa-mir-1469,m146,0
hsa-mir-1471,m147,0
hsa-mir-1915-5p,m148,0
hsa-mir-193a-5p,m149,0
hsa-mir-2355-5p,m150,0
hsa-mir-3186-5p,m151,0
hsa-mir-625-5p,m152,0
hsa-mir-718,m153,0
hsa-mir-874-5p,m154,0
hsa-mir-508-5p,m155,0
hsa-mir-193b-5p,m156,0
hsa-mir-211-5p,m157,0
hsa-mir-30a-5p,m158,0
hsa-mir-519d-5p,m159,0
hsa-mir-525-5p,m160,0
hsa-mir-142-5p,m161,0
hsa-mir-302b-5p,m162,0
hsa-mir-302c-5p,m163,0
hsa-mir-367-5p,m164,0
hsa-mir-381-5p,m165,0
hsa-mir-154-5p,m166,0
hsa-mir-376b-5p,m167,0
hsa-mir-431-5p,m168,0
hsa-mir-361-5p,m169,0
hsa-mir-24-3p,m170,0
hsa-mir-98-5p,m171,0
hsa-mir-409-5p,m172,0
hsa-mir-125b-5p,m173,0
hsa-mir-421,m174,0
hsa-mir-186-5p,m175,0
hsa-mir-660-5p,m176,0
hsa-mir-198,m177,0
hsa-mir-92a-3p,m178,0
hsa-mir-505-5p,m179,0
hsa-let-7f-5p,m180,0
hsa-mir-103a-3p,m181,0
hsa-mir-1285-5p,m182,0
hsa-mir-26a-5p,m183,0
hsa-mir-26b-5p,m184,0
hsa-mir-532-5p,m185,0
hsa-mir-23a-5p,m186,0
hsa-mir-1-3p,m187,0
hsa-mir-495-5p,m188,0
hsa-mir-195-5p,m189,0
hsa-mir-181b-5p,m190,0
hsa-mir-124-5p,m191,0
hsa-mir-9-5p,m192,0
hsa-mir-218-5p,m193,0
hsa-mir-33b-5p,m194,0
hsa-mir-374a-5p,m195,0
hsa-mir-31-5p,m196,0
hsa-mir-93-5p,m197,0
hsa-mir-130b-5p,m198,0
hsa-mir-335-5p,m199,0
hsa-mir-122-5p,m200,0
hsa-mir-181a-5p,m201,0
hsa-mir-708-5p,m202,0
hsa-mir-34b-5p,m203,0
hsa-mir-194-5p,m204,0
hsa-mir-483-5p,m205,0
hsa-mir-204-5p,m206,0
hsa-mir-1297,m207,0
hsa-mir-4505,m208,0
hsa-mir-320b,m209,0
hsa-mir-132-5p,m210,0
hsa-mir-133a-5p,m211,0
hsa-mir-25-5p,m212,0
hsa-mir-5100,m213,0
hsa-mir-638,m214,0
hsa-mir-632,m215,0
hsa-mir-1246,m216,0
hsa-mir-4732-5p,m217,0
hsa-mir-6088,m218,0
hsa-mir-128-3p,m219,0
hsa-mir-301b-5p,m220,0
hsa-mir-199a-5p,m221,0
hsa-mir-299-5p,m222,0
hsa-mir-519a-5p,m223,0
hsa-mir-151a-5p,m224,0
hsa-mir-19b-3p,m225,0
hsa-mir-377-5p,m226,0
hsa-mir-449b-5p,m227,0
hsa-mir-581,m228,0
hsa-mir-941,m229,0
hsa-mir-7-5p,m230,0
hsa-mir-101-5p,m231,0
hsa-mir-140-5p,m232,0
hsa-mir-744-5p,m233,0
hsa-mir-520c-5p,m234,0
hsa-mir-523-5p,m235,0
